arama_terimi,baslik,aciklama
İstanbul,İstanbul,Türkiye'nin ve Avrupa'nın en kalabalık şehri
İstanbul,İstanbul Üniversitesi,
İstanbul,İstanbul'un Fethi,Osmanlı'nın Bizans başkentini alması (1453)
İstanbul,İstanbul Havalimanı,İstanbul'da bulunan uluslararası bir havalimanı
İstanbul,İstanbul Başakşehir FK,Türk futbol kulübü
İstanbul,İstanbul Teknik Üniversitesi,İstanbul'da kurulu devlet üniversitesi
İstanbul,İstanbul Büyükşehir Belediyesi,İstanbul'daki belediye işlerinden sorumlu kamu kurumu
İstanbul,İstanbul Metrosu,"İstanbul, Türkiye'de hizmet veren metro ağı"
İstanbul,İstanbul Boğazı,Karadeniz ile Marmara Denizi arasındaki boğaz
İstanbul,İstanbul'un ilçeleri,Vikimedya liste maddesi
Atatürk,Mustafa Kemal Atatürk,Türkiye Cumhuriyeti'nin kurucusu ve ilk cumhurbaşkanı
Atatürk,Atatürk Havalimanı,Türkiye'nin İstanbul ilindeki uluslararası bir havalimanı
Atatürk,Atatürk Olimpiyat Stadyumu,İstanbul'da bir stadyum
Atatürk,Atatürk Havalimanı saldırısı,28 Haziran 2016'da IŞİD tarafından gerçekleştirilen terör saldırısı
Atatürk,Atatürk İlkeleri,Atatürk'ün politikalarını belirleyen altı ilke
Atatürk,Atatürk Devrimleri,Türk ulus devletini yaratan köklü reformlar
Atatürk,Atatürk Üniversitesi,Erzurum'da kurulu devlet üniversitesi
Atatürk,Atatürk Kanalı,"Albany, Batı Avustralya'daki su kanalı"
Atatürk,Atatürk 1881-1919,2023 yapımı tarihî Türk filmi
Atatürk,Atatürk Orman Çiftliği,Ankara'da bir çiftlik
Türk edebiyatı,Türk edebiyatı,Türkçe yazılmış edebî eserler
Türk edebiyatı,Türk edebiyatında hikâye,
Türk edebiyatı,Türk edebiyatında şiir,Türk edebiyatındaki şiir türündeki eserler
Türk edebiyatı,Türk edebiyatında roman,
Türk edebiyatı,Türk edebiyatında LGBT temaları,
Türk edebiyatı,Türk edebiyatında destan,Türkler tarafından yazılan destan
Türk edebiyatı,Türk edebiyatında masal,
Türk edebiyatı,Türk edebiyatında Kurtuluş Savaşı konulu romanlar,
Türk edebiyatı,Türk Edebiyatı İsimler Sözlüğü,edebiyat içerikli sözlük
Türk edebiyatı,Türk Edebiyatı (dergi),
Kapadokya,Kapadokya,Türkiye'de bulunan turistik bir bölge
Kapadokya,Kapadokya Üniversitesi,Nevşehir'de kurulu devlet üniversitesi
Kapadokya,Kapadokya'da çekilen filmler listesi,Vikimedya liste maddesi
Kapadokya,Kapadokya Rumcası,
Kapadokya,Kapadokya (eyalet),"Anadolu'da bir Roma İmparatorluğu eyaleti, başkenti Caesarea (Kayseri)"
Kapadokya,Kapadokya Kilisesi,
Kapadokya,Kapadokya Krallığı,Kapadokya
Kapadokya,Kapadokyalı Arhelaos,Kapadokya'nın son kralı
Kapadokya,Kapadokya'daki yeraltı şehirleri,
Kapadokya,Kapadokya takvimi,antik güneş takvimi
