il,bolge,buyuksehir,kurulus_tarihi,yuzolcumu_km2,nufus,yogunluk,ilce_sayisi,mahalle_sayisi,koy_sayisi,rakim_m,plaka_kodu,telefon_kodu
Adana,Akdeniz Bölgesi,True,C.ö.,13844,2283609,165,15,831,0,25,01,322
Adıyaman,Güneydoğu Anadolu Bölgesi,False,14.06.1954,7337,617821,84,9,174,453,701,02,416
Afyonkarahisar,Ege Bölgesi,False,C.ö.,14016,751808,54,18,448,420,1012,03,272
Ağrı,Doğu Anadolu Bölgesi,False,C.ö.,11099,491489,44,8,100,563,1630,04,472
Aksaray,İç Anadolu Bölgesi,False,15.06.1989,7659,441136,58,8,157,175,1228,68,382
Amasya,Karadeniz Bölgesi,False,C.ö.,5628,342242,61,7,107,372,400,05,358
Ankara,İç Anadolu Bölgesi,True,C.ö.,25632,5910320,231,25,1425,0,905,06,312
Antalya,Akdeniz Bölgesi,True,C.ö.,20177,2777677,138,19,914,0,62,07,242
Ardahan,Doğu Anadolu Bölgesi,False,27.05.1992,4934,90392,18,6,40,226,1799,75,478
Artvin,Karadeniz Bölgesi,False,25.12.1935,7393,167531,23,9,39,320,530,08,466
Aydın,Ege Bölgesi,True,C.ö.,8116,1172107,144,17,671,0,92,09,256
Balıkesir,Marmara Bölgesi,True,C.ö.,14583,1284517,88,20,1131,0,145,10,266
Bartın,Karadeniz Bölgesi,False,28.08.1991,2330,206663,89,4,50,263,12,74,378
Batman,Güneydoğu Anadolu Bölgesi,False,16.05.1990,4477,662626,148,6,136,288,570,72,488
Bayburt,Karadeniz Bölgesi,False,15.06.1989,3746,82836,22,3,28,170,1555,69,458
Bilecik,Marmara Bölgesi,False,C.ö.,4179,228995,55,8,62,244,513,11,228
Bingöl,Doğu Anadolu Bölgesi,False,25.12.1935,8003,282299,35,8,68,320,1159,12,426
Bitlis,Doğu Anadolu Bölgesi,False,25.12.1935,8294,360423,43,7,123,348,1637,13,434
Bolu,Karadeniz Bölgesi,False,C.ö.,8313,327173,39,9,93,487,741,14,374
Burdur,Akdeniz Bölgesi,False,C.ö.,7175,277226,39,11,127,193,963,15,248
Bursa,Marmara Bölgesi,True,C.ö.,10813,3263011,302,17,1061,0,238,16,224
Çanakkale,Marmara Bölgesi,False,C.ö.,9817,573976,58,12,81,576,11,17,286
Çankırı,İç Anadolu Bölgesi,False,C.ö.,7542,200549,27,12,96,371,730,18,376
Çorum,Karadeniz Bölgesi,False,C.ö.,12428,519590,42,14,126,759,822,19,364
Denizli,Ege Bölgesi,True,C.ö.,12134,1060975,87,19,617,0,392,20,258
Diyarbakır,Güneydoğu Anadolu Bölgesi,True,C.ö.,15101,1852356,123,17,1046,0,674,21,412
Düzce,Karadeniz Bölgesi,False,03.12.1999,2492,415622,167,8,115,278,149,81,380
Edirne,Marmara Bölgesi,False,C.ö.,6145,422438,69,9,95,253,50,22,284
Elazığ,Doğu Anadolu Bölgesi,False,C.ö.,9383,605678,65,11,152,550,1041,23,424
Erzincan,Doğu Anadolu Bölgesi,False,C.ö.,11815,239625,20,9,159,522,1216,24,446
Erzurum,Doğu Anadolu Bölgesi,True,C.ö.,25006,736877,29,20,1184,0,1923,25,442
Eskişehir,İç Anadolu Bölgesi,True,C.ö.,13960,927956,66,14,539,0,796,26,222
Gaziantep,Güneydoğu Anadolu Bölgesi,True,C.ö.,6803,2222415,327,9,781,0,838,27,342
Giresun,Karadeniz Bölgesi,False,C.ö.,6972,455074,65,16,199,553,14,28,454
Gümüşhane,Karadeniz Bölgesi,False,C.ö.,6668,138807,21,6,76,318,1174,29,456
Hakkâri,Doğu Anadolu Bölgesi,False,25.12.1935,7095,279681,39,5,56,125,1756,30,438
Hatay,Akdeniz Bölgesi,True,07.07.1939,5524,1577531,286,15,593,0,89,31,326
Iğdır,Doğu Anadolu Bölgesi,False,27.05.1992,3664,205071,56,4,36,162,860,76,476
Isparta,Akdeniz Bölgesi,False,C.ö.,8946,445303,50,13,217,204,1058,32,246
İstanbul,Marmara Bölgesi,True,C.ö.,5461,15754053,2885,39,964,0,25,34,"[B]212, 216"
İzmir,Ege Bölgesi,True,C.ö.,11891,4504185,379,30,1294,0,9,35,232
Kahramanmaraş,Akdeniz Bölgesi,True,C.ö.,14520,1146278,79,11,710,0,562,46,344
Karabük,Karadeniz Bölgesi,False,03.06.1995,4142,249614,60,6,80,277,264,78,370
Karaman,İç Anadolu Bölgesi,False,15.06.1989,8678,262355,30,6,133,158,1063,70,338
Kars,Doğu Anadolu Bölgesi,False,C.ö.,10193,268991,26,8,57,381,1756,36,474
Kastamonu,Karadeniz Bölgesi,False,C.ö.,13064,379934,29,20,173,1054,814,37,366
Kayseri,İç Anadolu Bölgesi,True,C.ö.,16970,1458991,86,16,714,0,1060,38,352
Kırıkkale,İç Anadolu Bölgesi,False,15.06.1989,4791,282830,59,9,88,185,746,71,318
Kırklareli,Marmara Bölgesi,False,C.ö.,6459,379595,59,8,108,179,231,39,288
Kırşehir,İç Anadolu Bölgesi,False,12.06.1957,6584,242777,37,7,67,252,991,40,386
Kilis,Güneydoğu Anadolu Bölgesi,False,03.06.1995,1412,157363,111,4,90,138,660,79,348
Kocaeli,Marmara Bölgesi,True,C.ö.,3397,2161171,636,12,472,0,4,41,262
Konya,İç Anadolu Bölgesi,True,C.ö.,40838,2343409,57,31,1154,0,1023,42,332
Kütahya,Ege Bölgesi,False,C.ö.,11634,570478,49,13,222,546,958,43,274
Malatya,Doğu Anadolu Bölgesi,True,C.ö.,12259,755854,62,13,718,0,970,44,422
Manisa,Ege Bölgesi,True,C.ö.,13339,1477756,111,17,1089,0,79,45,236
Mardin,Güneydoğu Anadolu Bölgesi,True,C.ö.,8780,903576,103,10,699,0,938,47,482
Mersin,Akdeniz Bölgesi,True,C.ö.,16010,1956428,122,13,805,0,18,33,324
Muğla,Ege Bölgesi,True,C.ö.,12654,1099547,87,13,569,0,659,48,252
Muş,Doğu Anadolu Bölgesi,False,C.ö.,8718,389127,45,6,121,366,1334,49,436
Nevşehir,İç Anadolu Bölgesi,False,30.06.1954,5485,320150,58,8,118,153,1197,50,384
Niğde,İç Anadolu Bölgesi,False,C.ö.,7234,374492,52,6,139,131,1239,51,388
Ordu,Karadeniz Bölgesi,True,C.ö.,5914,768087,130,19,772,0,25,52,452
Osmaniye,Akdeniz Bölgesi,False,24.10.1996,3320,564123,170,7,133,159,121,80,328
Rize,Karadeniz Bölgesi,False,25.12.1935,3835,346947,90,12,208,347,11,53,464
Sakarya,Marmara Bölgesi,True,14.06.1954,4824,1123693,233,16,668,0,41,54,264
Samsun,Karadeniz Bölgesi,True,C.ö.,9725,1392403,143,17,1252,0,10,55,362
Siirt,Güneydoğu Anadolu Bölgesi,False,C.ö.,5717,332369,58,7,63,276,887,56,484
Sinop,Karadeniz Bölgesi,False,C.ö.,5717,225848,40,9,50,464,27,57,368
Sivas,İç Anadolu Bölgesi,False,C.ö.,28164,631401,22,17,253,1233,1313,58,346
Şanlıurfa,Güneydoğu Anadolu Bölgesi,True,C.ö.,19242,2265800,118,13,1438,0,527,63,414
Şırnak,Güneydoğu Anadolu Bölgesi,False,16.05.1990,7078,573666,81,7,91,196,1343,73,486
Tekirdağ,Marmara Bölgesi,True,C.ö.,6190,1208441,195,11,366,0,28,59,282
Tokat,Karadeniz Bölgesi,False,C.ö.,10042,614141,61,12,316,614,630,60,356
Trabzon,Karadeniz Bölgesi,True,C.ö.,4628,823323,178,18,708,0,36,61,462
Tunceli,Doğu Anadolu Bölgesi,False,25.12.1935,7582,85083,11,8,43,363,922,62,428
Uşak,Ege Bölgesi,False,09.07.1953,5555,374405,67,6,72,245,915,64,276
Van,Doğu Anadolu Bölgesi,True,C.ö.,20921,1112013,53,13,692,0,1728,65,432
Yalova,Marmara Bölgesi,False,03.06.1995,798,311635,391,6,51,43,8,77,226
Yozgat,İç Anadolu Bölgesi,False,C.ö.,13690,413208,30,14,234,558,1317,66,354
Zonguldak,Karadeniz Bölgesi,False,C.ö.,3342,585203,175,8,178,380,10,67,372
