baslik,yazar,yayim_yili,yayimci
Barbarın Kahkahası,Sema Kaygusuz,Mayıs 2015,Metis Yayınları
Başın Öne Eğilmesin,Hıfzı Topuz,Eylül 2006,Remzi Kitabevi
Biz İnsanlar,Peyami Safa,1937 (tefrika)1959 (ilk basım),İnkılap Kitabevi
Cemo,Kemal Bilbaşar,1966,Tekin YayınlarıCan Yayınları
Çanakkale Mahşeri,Mehmet Niyazi Özdemir,1998,Ötüken Neşriyat
Deli Kurt,Hüseyin Nihal Atsız,1958 (özgün)1958 (Türkçe),Ötüken Neşriyat
Deliduman,Emrah Serbes,Haziran 2014,İletişim Yayınları
Dünya Döner Renkler Kalır,Belgin Bıyıkoğlu,Ekim 2021,Destek Yayınları
Dünyanın En Pis Sokağı,Tarık Buğra,"1989, İstanbul",Ötüken Yayınları
Düşler ve Gerçekler,Celal Pamukçu,2007,Boyut Yayın Grubu
Gazi Paşa,Attilâ İlhan,2006,Türkiye İş Bankası Kültür Yayınları
General Uçtu,Mehmet Zaman Saçlıoğlu,Ocak 2014,İş Bankası Kültür Yayınları
Gönül Hanım,,,
Gözüm Yaşı Tuna Selidir Şimdi,Selma Fındıklı,1997,
Halkalı Köle,,,
İçi Yoksul,Tahir Musa Ceylan,2005,Merkez Kitaplar
İkra,Murat Serdar Arslantürk,(özgün)Eylül 2012 (Türkçe),Arunas Yayınları
Kahramanlar Doğmalıydı,Şevket Süreyya Aydemir,1974,Çağdaş Yayınları
Kurtlar Sofrası,Attilâ İlhan,1963,
Küçük Paşa,Ebubekir Hâzım Tepeyran,2020 (özgün)1910 (Türkçe),Türkiye İş Bankası Kültür Yayınları
Minare Gölgesi,Engin Ergönültaş,2013,İletişim Yayınları
Onuncu Köy,,,
Ölümü Bekleyen Kent,Yıldırım Keskin,,Bilgi Yayınevi
Sırrımsın Sırdaşımsın,Kâmuran Şipal,Şubat 2010 (İlk basım),Yapı Kredi Yayınları
Tatlı Betüş,Aziz Nesin,1974,Tekin Yayınevi (ilk basım)
Toprak Uyanırsa,Şevket Süreyya Aydemir,1963,Remzi Kitabevi
Türk edebiyatında roman,,,
Uzay Çiftçileri,,,
Üç İstanbul,Mithat Cemal Kuntay,1938,
Üç Kağıtçı,,,
Yaraya Tuz Basmak,Atilla İlhan,1978,Bilgi Yayınevi
Yılkı Atı,Abbas Sayar,1970,Ötüken Neşriyat
Zahit,Hasan Özkılıç,Kasım 2012,Can Yayınları
