baslik,aciklama,kaynak,arama_terimi
İstanbul,Türkiye'nin ve Avrupa'nın en kalabalık şehri,DOM Parsing,İstanbul
İstanbul Üniversitesi,,DOM Parsing,İstanbul
İstanbul'un Fethi,Osmanlı'nın Bizans başkentini alması (1453),DOM Parsing,İstanbul
İstanbul Havalimanı,İstanbul'da bulunan uluslararası bir havalimanı,DOM Parsing,İstanbul
İstanbul Başakşehir FK,Türk futbol kulübü,DOM Parsing,İstanbul
İstanbul Teknik Üniversitesi,İstanbul'da kurulu devlet üniversitesi,DOM Parsing,İstanbul
İstanbul Büyükşehir Belediyesi,İstanbul'daki belediye işlerinden sorumlu kamu kurumu,DOM Parsing,İstanbul
İstanbul Metrosu,"İstanbul, Türkiye'de hizmet veren metro ağı",DOM Parsing,İstanbul
İstanbul Boğazı,Karadeniz ile Marmara Denizi arasındaki boğaz,DOM Parsing,İstanbul
İstanbul'un ilçeleri,Vikimedya liste maddesi,DOM Parsing,İstanbul
Mustafa Kemal Atatürk,Türkiye Cumhuriyeti'nin kurucusu ve ilk cumhurbaşkanı,DOM Parsing,Atatürk
Atatürk Havalimanı,Türkiye'nin İstanbul ilindeki uluslararası bir havalimanı,DOM Parsing,Atatürk
Atatürk Olimpiyat Stadyumu,İstanbul'da bir stadyum,DOM Parsing,Atatürk
Atatürk Havalimanı saldırısı,28 Haziran 2016'da IŞİD tarafından gerçekleştirilen terör saldırısı,DOM Parsing,Atatürk
Atatürk İlkeleri,Atatürk'ün politikalarını belirleyen altı ilke,DOM Parsing,Atatürk
Atatürk Devrimleri,Türk ulus devletini yaratan köklü reformlar,DOM Parsing,Atatürk
Atatürk Üniversitesi,Erzurum'da kurulu devlet üniversitesi,DOM Parsing,Atatürk
Atatürk Kanalı,"Albany, Batı Avustralya'daki su kanalı",DOM Parsing,Atatürk
Atatürk 1881-1919,2023 yapımı tarihî Türk filmi,DOM Parsing,Atatürk
Atatürk Orman Çiftliği,Ankara'da bir çiftlik,DOM Parsing,Atatürk
Türk edebiyatı,Türkçe yazılmış edebî eserler,DOM Parsing,Türk edebiyatı
Türk edebiyatında hikâye,,DOM Parsing,Türk edebiyatı
Türk edebiyatında şiir,Türk edebiyatındaki şiir türündeki eserler,DOM Parsing,Türk edebiyatı
Türk edebiyatında roman,,DOM Parsing,Türk edebiyatı
Türk edebiyatında LGBT temaları,,DOM Parsing,Türk edebiyatı
Türk edebiyatında destan,Türkler tarafından yazılan destan,DOM Parsing,Türk edebiyatı
Türk edebiyatında masal,,DOM Parsing,Türk edebiyatı
Türk edebiyatında Kurtuluş Savaşı konulu romanlar,,DOM Parsing,Türk edebiyatı
Türk Edebiyatı İsimler Sözlüğü,edebiyat içerikli sözlük,DOM Parsing,Türk edebiyatı
Türk Edebiyatı (dergi),,DOM Parsing,Türk edebiyatı
Kapadokya,Türkiye'de bulunan turistik bir bölge,DOM Parsing,Kapadokya
Kapadokya Üniversitesi,Nevşehir'de kurulu devlet üniversitesi,DOM Parsing,Kapadokya
Kapadokya'da çekilen filmler listesi,Vikimedya liste maddesi,DOM Parsing,Kapadokya
Kapadokya Rumcası,,DOM Parsing,Kapadokya
Kapadokya (eyalet),"Anadolu'da bir Roma İmparatorluğu eyaleti, başkenti Caesarea (Kayseri)",DOM Parsing,Kapadokya
Kapadokya Kilisesi,,DOM Parsing,Kapadokya
Kapadokya Krallığı,Kapadokya,DOM Parsing,Kapadokya
Kapadokyalı Arhelaos,Kapadokya'nın son kralı,DOM Parsing,Kapadokya
Kapadokya'daki yeraltı şehirleri,,DOM Parsing,Kapadokya
Kapadokya takvimi,antik güneş takvimi,DOM Parsing,Kapadokya
Orhan Pamuk,Nobel ödüllü Türk roman yazarı,DOM Parsing,Orhan Pamuk
Orhan Pamuk'un diğer dillerde yayımlanmış eserleri,,DOM Parsing,Orhan Pamuk
Osman Pamukoğlu,"Türk asker, yazar ve siyasetçi",DOM Parsing,Orhan Pamuk
